Player,Salary
Stephen Curry,"$45,780,966"
John Wall,"$44,310,840"
Russell Westbrook,"$44,211,146"
James Harden,"$43,848,000"
LeBron James,"$41,180,544"
Kevin Durant,"$40,918,900"
Giannis Antetokounmpo,"$39,344,970"
Paul George,"$39,344,970"
Damian Lillard,"$39,344,900"
Kawhi Leonard,"$39,344,900"
Klay Thompson,"$37,980,720"
Jimmy Butler,"$36,016,200"
Tobias Harris,"$36,000,000"
Khris Middleton,"$35,500,000"
Anthony Davis,"$35,361,360"
Rudy Gobert,"$35,344,828"
Kyrie Irving,"$34,916,200"
Bradley Beal,"$34,502,130"
Kristaps Porziņģis,"$31,650,600"
Devin Booker,"$31,610,000"
Karl-Anthony Towns,"$31,610,000"
Ben Simmons,"$31,590,000"
Jamal Murray,"$31,590,000"
Joel Embiid,"$31,579,390"
Andrew Wiggins,"$31,579,390"
Pascal Siakam,"$31,320,000"
Kevin Love,"$31,300,000"
CJ McCollum,"$30,864,198"
Chris Paul,"$30,800,000"
Nikola Jokić,"$30,510,423"
Jrue Holiday,"$30,133,333"
D'Angelo Russell,"$30,013,500"
Gordon Hayward,"$29,900,000"
Blake Griffin,"$32,405,817"
Brandon Ingram,"$29,467,800"
De'Aaron Fox,"$28,103,550"
Bam Adebayo,"$28,103,550"
Donovan Mitchell,"$28,103,550"
Jayson Tatum,"$28,103,550"
Al Horford,"$27,000,000"
Kyle Lowry,"$26,984,128"
Kemba Walker,"$8,729,020"
DeMar DeRozan,"$26,000,000"
Jaylen Brown,"$24,830,357"
Draymond Green,"$24,026,712"
Nikola Vučević,"$24,000,000"
John Collins,"$23,000,000"
Buddy Hield,"$22,477,273"
Malcolm Brogdon,"$21,700,000"
Tim Hardaway Jr.,"$21,306,816"
Mike Conley,"$21,000,000"
Gary Harris,"$20,482,143"
Danilo Gallinari,"$20,475,000"
Harrison Barnes,"$20,284,091"
Jarrett Allen,"$20,000,000"
Jerami Grant,"$20,000,000"
Julius Randle,"$19,800,000"
Fred VanVleet,"$19,675,926"
Zach LaVine,"$19,500,000"
Goran Dragić,"$19,440,000"
Bojan Bogdanović,"$18,700,000"
Lonzo Ball,"$18,604,651"
Domantas Sabonis,"$18,562,500"
Eric Gordon,"$18,218,818"
Evan Fournier,"$18,139,535"
Eric Bledsoe,"$18,125,000"
Myles Turner,"$18,000,000"
Bogdan Bogdanović,"$18,000,000"
Terry Rozier,"$17,905,263"
Ricky Rubio,"$17,809,524"
Caris LeVert,"$17,500,000"
Jonathan Isaac,"$17,400,000"
Joe Harris,"$17,357,143"
Spencer Dinwiddie,"$17,142,857"
Clint Capela,"$17,103,448"
Steven Adams,"$17,073,171"
Markelle Fultz,"$16,500,000"
Aaron Gordon,"$16,409,091"
OG Anunoby,"$16,071,429"
Dāvis Bertāns,"$16,000,000"
Gary Trent Jr.,"$16,000,000"
Lauri Markkanen,"$15,690,909"
Marcus Morris,"$15,627,907"
Duncan Robinson,"$15,560,000"
Norman Powell,"$15,517,242"
Dejounte Murray,"$15,428,571"
Will Barton,"$15,384,615"
Derrick White,"$15,178,571"
Taurean Prince,"$15,057,692"
Malik Beasley,"$14,391,964"
Marcus Smart,"$14,339,285"
Patrick Beverley,"$14,320,988"
Thaddeus Young,"$14,190,000"
Jonas Valančiūnas,"$14,000,000"
Joe Ingles,"$14,000,000"
Doug McDermott,"$13,750,000"
Christian Wood,"$13,666,667"
Derrick Rose,"$13,445,120"
Brook Lopez,"$13,302,325"
Kentavious Caldwell-Pope,"$13,038,862"
Kyle Kuzma,"$13,000,000"
Robert Covington,"$12,975,471"
Luke Kennard,"$12,727,273"
T.J. Warren,"$12,690,000"
Deandre Ayton,"$12,632,950"
Terrence Ross,"$12,500,000"
Jordan Clarkson,"$12,420,000"
Dillon Brooks,"$12,200,000"
Kelly Olynyk,"$12,195,122"
Kelly Oubre Jr.,"$12,000,000"
Josh Hart,"$12,000,000"
Jusuf Nurkić,"$12,000,000"
Josh Richardson,"$11,600,000"
Marvin Bagley III,"$11,312,114"
Devonte' Graham,"$11,000,000"
Dwight Powell,"$11,000,000"
Zion Williamson,"$10,733,400"
Larry Nance Jr.,"$10,690,909"
Jeremy Lamb,"$10,500,000"
Richaun Holmes,"$10,384,500"
Reggie Jackson,"$10,384,500"
Anthony Edwards,"$10,245,480"
Luka Dončić,"$10,174,391"
Cade Cunningham,"$10,050,120"
Danny Green,"$10,000,000"
Tomáš Satoranský,"$10,000,000"
Kyle Anderson,"$9,937,150"
Serge Ibaka,"$9,742,000"
Jae Crowder,"$9,720,900"
Montrezl Harrell,"$9,720,900"
Tristan Thompson,"$9,720,900"
Derrick Favors,"$9,720,900"
Derrick Jones Jr.,"$9,720,900"
Ja Morant,"$9,603,360"
Reggie Bullock,"$9,536,000"
Alec Burks,"$9,536,000"
Talen Horton-Tucker,"$9,500,000"
Jaren Jackson Jr.,"$9,180,560"
James Wiseman,"$9,166,800"
Nicolas Batum,"$12,213,507"
Dario Šarić,"$9,000,000"
Jalen Green,"$8,992,200"
Nerlens Noel,"$8,800,000"
Jakob Poeltl,"$8,750,000"
Maxi Kleber,"$8,750,000"
Thomas Bryant,"$8,730,159"
Kemba Walker,"$8,729,020"
Royce O'Neale,"$8,678,571"
RJ Barrett,"$8,623,920"
Alex Caruso,"$8,604,651"
Delon Wright,"$8,526,316"
De'Anthony Melton,"$8,437,500"
Daniel Theis,"$8,372,093"
Monte Morris,"$8,333,333"
Trae Young,"$8,326,471"
JaMychal Green,"$8,292,683"
LaMelo Ball,"$8,231,760"
Seth Curry,"$8,186,047"
Mason Plumlee,"$8,137,500"
Evan Mobley,"$8,075,160"
Cedi Osman,"$8,050,000"
DeAndre Jordan,"$10,517,224"
De'Andre Hunter,"$7,775,400"
Mo Bamba,"$7,568,742"
Tyus Jones,"$7,522,200"
Ivica Zubac,"$7,518,518"
T.J. McConnell,"$7,500,000"
Patrick Williams,"$7,422,000"
Scottie Barnes,"$7,280,520"
Darius Garland,"$7,040,880"
Juancho Hernangómez,"$7,012,440"
Chris Boucher,"$7,009,615"
D.J. Augustin,"$7,000,000"
P.J. Tucker,"$7,000,000"
Zach Collins,"$6,984,127"
Wendell Carter Jr.,"$6,920,027"
Isaac Okoro,"$6,720,720"
Jalen Suggs,"$6,593,040"
Cameron Payne,"$6,500,000"
Joakim Noah,"$6,431,666"
Jarrett Culver,"$6,395,160"
Khem Birch,"$6,350,000"
Collin Sexton,"$6,349,671"
Onyeka Okongwu,"$6,104,280"
Justin Holiday,"$6,006,420"
Josh Giddey,"$5,988,000"
Rudy Gay,"$5,890,000"
Patty Mills,"$5,890,000"
Dennis Schröder,"$5,890,000"
Kevin Knox,"$5,845,978"
